,Timestamp,P1,P2,P3,P4
0,32400,40,60,50,30
1,118800,40,60,50,30
2,205200,40,60,50,30
3,291600,40,60,50,30
4,378000,40,60,50,30
5,464400,40,60,50,30
6,550800,40,60,50,30
7,637200,40,60,50,30
8,723600,40,60,50,30
9,810000,40,60,50,30
10,896400,40,60,50,30
11,982800,40,60,50,30
12,1069200,40,60,50,30
13,1155600,40,60,50,30
14,1242000,40,60,50,30
15,1328400,40,60,50,30
16,1414800,40,60,50,30
17,1501200,40,60,50,30
18,1587600,40,60,50,30
19,1674000,40,60,50,30
20,1760400,40,60,50,30
21,1846800,40,60,50,30
22,1933200,40,60,50,30
23,2019600,40,60,50,30
24,2106000,40,60,50,30
25,2192400,40,60,50,30
26,2278800,40,60,50,30
27,2365200,40,60,50,30
28,2451600,40,60,50,30
29,2538000,40,60,50,30
30,2624400,40,60,50,30
31,2710800,40,60,50,30
32,2797200,40,60,50,30
33,2883600,40,60,50,30
34,2970000,40,60,50,30
35,3056400,40,60,50,30
36,3142800,40,60,50,30
37,3229200,40,60,50,30
38,3315600,40,60,50,30
39,3402000,40,60,50,30
40,3488400,40,60,50,30
41,3574800,40,60,50,30
42,3661200,40,60,50,30
43,3747600,40,60,50,30
44,3834000,40,60,50,30
45,3920400,40,60,50,30
46,4006800,40,60,50,30
47,4093200,40,60,50,30
48,4179600,40,60,50,30
49,4266000,40,60,50,30
50,4352400,40,60,50,30
51,4438800,40,60,50,30
52,4525200,40,60,50,30
53,4611600,40,60,50,30
54,4698000,40,60,50,30
55,4784400,40,60,50,30
56,4870800,40,60,50,30
57,4957200,40,60,50,30
58,5043600,40,60,50,30
59,5130000,40,60,50,30
60,5216400,40,60,50,30
61,5302800,40,60,50,30
62,5389200,40,60,50,30
63,5475600,40,60,50,30
64,5562000,40,60,50,30
65,5648400,40,60,50,30
66,5734800,40,60,50,30
67,5821200,40,60,50,30
68,5907600,40,60,50,30
69,5994000,40,60,50,30
70,6080400,40,60,50,30
71,6166800,40,60,50,30
72,6253200,40,60,50,30
73,6339600,40,60,50,30
